image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct
23312_48978.jpg,2000,,1.0,17.509,,3.625,66.867,90.507,5.232,-0.2577,3.644,3.558,24.951,,4.492,4.355,,,False,True,False,True,False,False,True,False,37.5
23313_48979.jpg,870,,0.7576,28.278,,6.548,81.059,19.355,-1.679,4.267,3.787,60.097,36.246,,4.145,4.24,,,False,True,False,True,False,False,False,False,25.0
23319_48985.jpg,2400,,1.0,25.418,,7.289,102.575,83.25,-2.684,2.414,3.29,25.843,34.329,,4.509,4.514,,,False,True,False,True,False,False,False,False,25.0
23335_307645.jpg,1300,,1.0,24.649,,3.6,72.379,87.701,5.312,4.629,2.144,8.573,28.838,,4.53,4.371,,,False,True,False,True,False,False,False,False,25.0
23336_49006.jpg,1027,,0.8741,12.354,,2.956,44.364,96.145,-1.408,2.22,1.775,0.3759,35.296,,4.182,4.246,,,False,False,False,True,False,False,True,False,25.0
23344_49014.jpg,788,,1.0,26.075,,3.016,46.659,86.198,-4.796,4.602,2.454,12.879,24.77,,4.503,4.136,,,False,True,False,True,False,False,False,False,25.0
23345_49015.jpg,1377,,0.7519,19.53,,2.956,60.532,90.094,-2.914,8.078,2.313,7.742,36.532,,4.499,4.393,,,False,True,False,True,False,False,False,False,25.0
23350_49020.jpg,2000,,1.0,22.564,,3.33,95.2,90.929,-2.039,2.895,1.88,5.515,53.762,,3.807,3.548,,,False,True,False,False,False,False,False,False,12.5
23362_49064.jpg,2240,,0.75,13.348,,2.473,37.368,67.275,9.68,6.658,4.162,55.055,8.263,,4.489,3.926,,,False,False,False,True,True,False,False,True,37.5
23364_49066.png,1293,,0.9015,16.958,,1.396,24.162,72.282,1.124,-3.532,5.101,12.821,15.357,,3.994,3.35,,,False,True,False,False,True,False,False,True,37.5
23365_49067.png,1134,,0.7393,11.802,,2.879,57.37,75.699,-0.4097,1.127,4.682,2.51,10.201,,4.549,4.432,,,False,False,False,True,True,False,True,True,50.0
23366_49068.png,1095,,0.8159,14.916,,1.084,19.204,72.525,6.461,3.532,4.753,20.576,12.904,,3.824,3.579,,,False,False,False,False,True,False,False,True,25.0
23726_303902.jpg,900,,1.0,17.803,,2.644,27.756,88.134,3.887,10.166,2.328,26.303,36.422,,3.55,3.656,,,False,True,False,False,False,False,False,False,12.5
24149_454305.jpg,2000,,1.0,22.727,,4.823,67.293,66.921,11.788,18.498,3.374,13.861,17.102,,3.919,3.957,,,False,True,False,False,False,False,False,True,25.0
24149_454306.jpg,2000,,1.0,26.365,,4.29,57.763,67.906,11.4,17.798,3.634,19.491,23.807,,4.208,4.182,,,False,True,False,True,False,False,False,False,25.0
24149_454307.jpg,2000,,1.0,30.25,,6.228,83.909,49.577,23.39,20.072,4.199,50.553,17.661,,4.29,4.116,,,False,False,False,True,True,False,False,True,37.5
24149_454308.jpg,2000,,1.0,28.913,,3.636,57.303,56.126,12.318,15.886,4.298,20.17,19.557,,4.403,4.363,,,False,True,False,True,True,False,False,True,50.0
24149_454309.jpg,2000,,1.0,24.779,,4.399,78.056,38.873,43.695,26.355,4.057,79.496,20.188,,4.452,4.371,,,False,True,False,True,True,False,False,False,37.5
24194_51470.jpg,2240,,0.75,13.421,,0.6844,16.287,67.651,10.776,8.447,3.985,53.643,9.222,,3.888,3.644,,,False,False,False,False,False,False,False,True,12.5
24470_303185.png,300,,1.113,35.341,,11.456,83.095,67.741,4.996,10.683,2.794,34.647,21.667,,3.612,3.838,,,False,False,False,False,False,False,False,False,0.0
24482_460415.jpg,2000,,1.0,24.885,,5.343,82.472,69.276,4.421,10.023,4.951,14.093,16.542,,3.668,4.118,,,False,True,False,False,True,False,False,True,37.5
24482_460416.jpg,2000,,1.0,23.111,,9.496,129.176,72.187,0.3207,11.388,4.548,16.698,19.782,,4.568,4.565,,,False,True,False,True,True,False,False,True,50.0
24482_460417.jpg,2000,,1.0,21.823,,5.153,66.292,70.213,2.141,11.679,4.18,12.291,10.169,,4.398,4.488,,,False,True,False,True,True,False,False,True,50.0
24482_460418.jpg,2000,,1.0,23.069,,7.9,166.627,68.982,-0.145,13.215,4.866,10.766,11.705,,4.562,4.562,,,False,True,False,True,True,False,False,True,50.0
24482_460419.jpg,2000,,1.0,16.841,,4.719,50.672,79.514,1.246,9.781,4.007,5.966,15.671,,4.465,4.388,,,False,True,False,True,True,False,False,True,50.0
24539_301373.jpg,1600,,1.0,18.865,,2.316,50.262,69.921,9.374,12.733,3.351,2.077,9.236,,3.062,3.328,,,False,True,False,False,False,False,True,True,37.5
24604_241775.jpg,1998,,1.0,9.597,,2.528,32.958,93.144,2.024,10.819,3.702,4.678,28.878,,3.967,4.184,,,False,False,False,False,False,False,True,False,12.5
24604_302871.jpg,1998,,1.0,9.597,,2.528,32.958,93.144,2.024,10.819,3.702,4.678,28.878,,3.967,4.184,,,False,False,False,False,False,False,True,False,12.5
24709_273782.jpg,1448,,0.989,9.64,,2.394,35.707,97.361,2.261,3.246,1.733,0.9264,37.76,,3.78,4.071,,,False,False,False,False,False,False,True,False,12.5
25094_321634.png,1109,,0.9698,17.988,,6.547,78.171,86.548,-13.5733,15.634,3.847,26.663,24.479,,4.458,4.457,,,False,True,False,True,False,False,False,False,25.0
25159_491529.jpg,2000,,1.0,25.467,,4.461,83.178,73.308,6.864,16.705,4.384,16.291,25.455,,4.202,4.21,,,False,True,False,True,True,False,False,False,37.5
25159_491531.jpg,2000,,1.0,29.268,,5.163,102.102,51.767,12.823,20.514,5.951,39.141,13.065,,4.479,4.461,,,False,True,False,True,True,False,False,True,50.0
25159_491532.jpg,2000,,1.0,28.692,,7.794,135.995,52.037,12.809,25.19,6.372,34.629,8.002,,4.5,4.491,,,False,True,False,True,False,False,False,True,37.5
25229_301206.jpg,2000,,1.0,17.874,,3.401,48.378,82.533,-0.3634,6.367,3.96,10.63,22.712,,4.567,4.103,,,False,True,False,True,False,False,False,False,25.0
25340_482582.jpg,2000,,1.0,21.629,,5.788,88.317,64.697,12.764,27.57,3.48,10.34,8.274,,3.852,4.116,,,False,True,False,False,False,False,False,True,25.0
25340_482583.jpg,2000,,1.0,18.16,,4.037,54.104,68.578,12.337,27.116,5.075,10.544,16.199,,3.434,3.64,,,False,True,False,False,True,False,False,True,37.5
25353_378304.jpg,1878,,0.9979,41.483,,9.363,109.99,48.381,0.2476,-2.667,3.464,57.143,12.199,,2.844,2.982,,,False,False,False,False,False,False,False,True,12.5
25358_370532.jpg,900,,1.0,34.248,,8.338,108.546,35.081,0.6831,-1.079,3.856,66.785,9.182,,3.17,3.546,,,False,False,False,False,False,False,False,True,12.5
8541_301738.jpg,900,,1.0,42.733,,6.108,72.927,57.618,1.507,1.384,3.208,26.434,22.744,,3.399,3.608,,,False,False,False,False,False,False,False,False,0.0
