image_file,width,height,aspect_ratio,rms_contrast,lightness_entropy,complexity,edge_density,mean_L,mean_a,mean_b,color_entropy,mirror_symmetry,balance,fourier_slope,eoe_1st,eoe_2nd,ssim,lpips,lab_ok,rms_ok,edge_ok,eoe_ok,color_entropy_ok,fourier_ok,symmetry_ok,balance_ok,compliance_pct,img_file
66533_394029.jpg,900,,1.0,9.562,,1.298,19.715,91.1,4.369,9.352,2.758,22.901,25.489,,2.982,0.001066,,,True,False,False,False,False,False,False,False,12.5,66533_394029.jpg
66536_349337.jpg,2000,,1.0,25.991,,2.014,40.422,80.877,-0.2952,-3.903,3.083,26.879,31.645,,3.359,0.0009506,,,False,True,False,False,True,False,False,False,25.0,66536_349337.jpg
66536_349338.jpg,2000,,1.0,25.991,,2.014,40.422,80.877,-0.2952,-3.903,3.083,26.879,31.645,,3.359,0.0009506,,,False,True,False,False,True,False,False,False,25.0,66536_349338.jpg
66568_322426.jpg,900,,1.0,2.648,,0.6839,7.627,99.595,0.01123,0.0279,0.2086,0.4213,23.645,,4.193,0.001483,,,False,False,False,True,False,False,True,False,25.0,66568_322426.jpg
66575_322427.jpg,899,,1.002,4.704,,0.7903,10.284,98.795,0.1599,0.3587,1.02,2.427,52.787,,4.299,0.001494,,,False,False,False,True,False,False,True,False,25.0,66575_322427.jpg
66580_305516.jpeg,1455,,1.01,3.297,,0.7655,10.18,99.529,0.04753,0.2046,0.8156,0.1477,30.957,,4.321,0.001421,,,False,False,False,True,False,False,True,False,25.0,66580_305516.jpeg
67062_507809.jpg,2000,,1.0,25.219,,3.096,44.348,76.853,7.48,12.098,3.862,5.771,28.213,,4.195,0.0009585,,,False,True,False,True,True,False,False,False,37.5,67062_507809.jpg
67062_507810.jpg,2000,,1.0,22.694,,4.133,64.443,75.292,7.635,14.57,4.217,6.135,22.891,,4.385,0.0007194,,,False,True,False,True,True,False,False,False,37.5,67062_507810.jpg
67062_507811.jpg,2000,,1.0,34.872,,9.568,157.021,54.249,14.896,24.252,5.056,26.247,17.232,,4.506,0.0001147,,,False,False,False,True,True,False,False,True,37.5,67062_507811.jpg
67068_198163.jpg,2000,,1.0,29.597,,2.322,55.659,79.336,0.6521,-2.558,3.145,16.664,28.863,,3.847,0.0009346,,,False,True,False,False,True,False,False,False,25.0,67068_198163.jpg
